2535 N 5 ST,,PHILA,CA,90210,3B
141 S ST NW,,WASHINGTON,DC,20001,3B
1410 42ND ST SE,,WASHINGTON,DC,20020,3B
1410 DELAFIELD PL NW,,WASHINGTON,DC,20011,3B
1410 JUNIPER ST NW,,WASHINGTON,DC,20012,3B
1410 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3B
1411 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3B
1411 ORREN ST NE,,WASHINGTON,DC,20002,3B
1412 30TH ST SE,,WASHINGTON,DC,20020,3B
1412 PARKWOOD PL NW,,WASHINGTON,DC,20010,3A
1412 S ST NW,,WASHINGTON,DC,20009,3B
1413 18TH ST SE,,WASHINGTON,DC,20020,3B
1413 MORSE ST NE,,WASHINGTON,DC,20002,3B
1413 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3B
1414 CARROLLSBURG PL SW,,WASHINGTON,DC,20024,3B
1414 MONTAGUE ST NW,,WASHINGTON,DC,20011,3A
1414 PARKWOOD PL NW,,WASHINGTON,DC,20010,3A
1414 S ST NW,,WASHINGTON,DC,20009,3B
1415 44TH ST NE,,WASHINGTON,DC,20019,3B
1415 MERIDIAN PL NW,,WASHINGTON,DC,20010,3B
1415 NEW JERSEY AVE NW,APT BSM,WASHINGTON,DC,20001,3B
1415 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3B
1416 COLUMBIA ST NW,,WASHINGTON,DC,20001,3B
1416 IRIS ST NW,,WASHINGTON,DC,20012,3B
1416 S ST NW,APT UPSTRS,WASHINGTON,DC,20009,3A
1417 34TH ST SE,,WASHINGTON,DC,20020,3A
1417 CRITTENDEN ST NW,,WASHINGTON,DC,20011,3B
1417 TAYLOR ST NW,,WASHINGTON,DC,20011,3A
1418 SPRING RD NW,,WASHINGTON,DC,20010,3A
1419 3RD ST NW,,WASHINGTON,DC,20001,3B
1419 42ND ST SE,,WASHINGTON,DC,20020,3B
1419 LONGFELLOW ST NW,,WASHINGTON,DC,20011,3B
1420 10TH ST NW,,WASHINGTON,DC,20001,3A
1420 34TH ST SE,,WASHINGTON,DC,20020,3B
1420 WHITTIER ST NW,,WASHINGTON,DC,20012,3B
1421 18TH ST SE,,WASHINGTON,DC,20020,3B
1421 ORREN ST NE,,WASHINGTON,DC,20002,3B
1422 44TH ST NE,,WASHINGTON,DC,20019,3B
1422 FLORIDA AVE NW,,WASHINGTON,DC,20009,3A
1422 HALF ST SW,,WASHINGTON,DC,20024,3B
1422 S ST NW,,WASHINGTON,DC,20009,3B
1423 3RD ST NW,,WASHINGTON,DC,20001,3A
1423 CRITTENDEN ST NW,,WASHINGTON,DC,20011,3B
1423 VARNUM ST NW,,WASHINGTON,DC,20011,3A
1424 18TH ST SE,,WASHINGTON,DC,20020,3B
1425 FLORAL ST NW,,WASHINGTON,DC,20012,3B
1425 S ST NW,APT BSMT,WASHINGTON,DC,20009,3A
1425 VAN BUREN ST NW,,WASHINGTON,DC,20012,3B
1426 SWANN ST NW,,WASHINGTON,DC,20009,3B
1426 T ST SE,,WASHINGTON,DC,20020,3B
1427 1/2 W ST NW,,WASHINGTON,DC,20009,3B
1427 MORSE ST NE,,WASHINGTON,DC,20002,3B
1427 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3A
1428 NICHOLSON ST NW,,WASHINGTON,DC,20011,3B
1428 OAK ST NW,,WASHINGTON,DC,20010,3B
1428 WHITTIER ST NW,,WASHINGTON,DC,20012,3B
1429 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3B
1430 3RD ST NW,,WASHINGTON,DC,20001,3A
1430 HALF ST SW,,WASHINGTON,DC,20024,3B
1430 WHITTIER ST NW,,WASHINGTON,DC,20012,3B
1431 MORSE ST NE,,WASHINGTON,DC,20002,3B
1433 TAYLOR ST NW,,WASHINGTON,DC,20011,3B
1434 18TH PL SE,WASHINGTON,WASHINGTON,DC,20020,3B
1434 PARKWOOD PL NW,,WASHINGTON,DC,20010,3B
1435 4TH ST SW,APT B711,WASHINGTON,DC,20024,3B
1435 HOLBROOK ST NE,APT 4,WASHINGTON,DC,20002,3B
1435 OGLETHORPE ST NW,,WASHINGTON,DC,20011,3B
1436 PARKWOOD PL NW,APT 3,WASHINGTON,DC,20010,3B
1437 ANACOSTIA AVE NE,,WASHINGTON,DC,20019,3B
1437 MONTANA AVE NE,APT 5,WASHINGTON,DC,20018,3A
1438 MONTELLO AVE NE,,WASHINGTON,DC,20002,3B
1438 WHITTIER ST NW,,WASHINGTON,DC,20012,3B
1439 MONROE ST NW,,WASHINGTON,DC,20010,3B
144 33RD ST NE,,WASHINGTON,DC,20019,3B
144 35TH ST NE,,WASHINGTON,DC,20019,3B
1440 OAK ST NW,,WASHINGTON,DC,20010,3B
1440 TAYLOR ST NW,,WASHINGTON,DC,20011,3A
1441 S ST NW,UNIT 2,WASHINGTON,DC,20009,3B
1442 41ST ST SE,,WASHINGTON,DC,20020,3A
1442 SWANN ST NW,,WASHINGTON,DC,20009,3A
1443 MADISON ST NW,,WASHINGTON,DC,20011,3B
1444 MONROE ST NW,,WASHINGTON,DC,20010,3A
1444 S ST NW,2ND FL,WASHINGTON,DC,20009,3A
1447 FLORAL ST NW,,WASHINGTON,DC,20012,3B
1449 CORCORAN ST NW,APT 2,WASHINGTON,DC,20009,3B
1449 S ST NW,,WASHINGTON,DC,20009,3B
145 35TH ST NE,APT 2,WASHINGTON,DC,20019,3B
145 36TH ST NE,APT 2,WASHINGTON,DC,20019,3A
1450 SOMERSET PL NW,APT 105,WASHINGTON,DC,20011,3A
1451 CORCORAN ST NW,,WASHINGTON,DC,20009,3A
1451 W ST NW,APT B,WASHINGTON,DC,20009,3B
1453 BANGOR ST SE,,WASHINGTON,DC,20020,3B
1460 NEWTON ST NW,,WASHINGTON,DC,20010,3B
1461 MONROE ST NW,,WASHINGTON,DC,20010,3B
1463 HOLBROOK ST NE,APT 2,WASHINGTON,DC,20002,3B
1463 RIDGE PL SE,,WASHINGTON,DC,20020,3B
1463 SWANN ST NW,APT BSMT,WASHINGTON,DC,20009,3B
147 48TH PL NE,,WASHINGTON,DC,20019,3B
15 ANACOSTIA RD NE,,WASHINGTON,DC,20019,3B
15 R ST NW,,WASHINGTON,DC,20001,3B
15 SHERIDAN ST NW,,WASHINGTON,DC,20011,3B
150 U ST NW,,WASHINGTON,DC,20001,3A
150 U ST NW,APT 2,WASHINGTON,DC,20001,3B
1500 38TH ST SE,,WASHINGTON,DC,20020,3B
1500 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3B
1500 OATES ST NE,APT 3,WASHINGTON,DC,20002,3B
1500 RIDGE PL SE,,WASHINGTON,DC,20020,3B
1501 35TH ST SE,,WASHINGTON,DC,20020,3A
1501 ALLISON ST NW,,WASHINGTON,DC,20011,3A
1501 FARRAGUT ST NW,,WASHINGTON,DC,20011,3A
1502 VAN BUREN ST NW,,WASHINGTON,DC,20012,3A
1503 3RD ST NW,,WASHINGTON,DC,20001,3A
1503 DELAFIELD PL NW,,WASHINGTON,DC,20011,3B
1503 R ST NW,APT 2,WASHINGTON,DC,20009,3A
1504 RIDGE PL SE,,WASHINGTON,DC,20020,3B
1505 41ST ST SE,,WASHINGTON,DC,20020,3B
1505 CAROLINE ST NW,,WASHINGTON,DC,20009,3A
1505 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3A
1506 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3A
1507 38TH ST SE,,WASHINGTON,DC,20020,3B
1508 10TH ST NW,APT 2,WASHINGTON,DC,20001,3A
1508 3RD ST NW,,WASHINGTON,DC,20001,3B
1508 BUCHANAN ST NW,APT BSMT,WASHINGTON,DC,20011,3B
1508 OATES ST NE,APT 4,WASHINGTON,DC,20002,3B
1509 ANACOSTIA AVE NE,,WASHINGTON,DC,20019,3B
1509 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3B
1509 HOWARD RD SE,,WASHINGTON,DC,20020,3B
1509 NEAL ST NE,,WASHINGTON,DC,20002,3B
1509 R ST NW,APT 1,WASHINGTON,DC,20009,3B
1509 WEBSTER ST NW,,WASHINGTON,DC,20011,3B
1510 CRITTENDEN ST NW,FLR BSMT,WASHINGTON,DC,20011,3A
1511 41ST ST SE,,WASHINGTON,DC,20020,3A
1511 ALLISON ST NW,,WASHINGTON,DC,20011,3A
1511 ISHERWOOD ST NE,APT 1,WASHINGTON,DC,20002,3B
1511 ISHERWOOD ST NE,APT 2,WASHINGTON,DC,20002,3B
1511 T ST NW,,WASHINGTON,DC,20009,3A
1512 CAROLINE ST NW,,WASHINGTON,DC,20009,3B
1512 GALES ST NE,,WASHINGTON,DC,20002,3B
1513 41ST ST SE,,WASHINGTON,DC,20020,3A
1513 FORT DAVIS PL SE,,WASHINGTON,DC,20020,3B
1513 QUEEN ST NE,,WASHINGTON,DC,20002,3A
1513 SPRING PL NW,WASHINGTON,WASHINGTON,DC,20010,3A
1514 D ST NE,,WASHINGTON,DC,20002,3B
1514 MONROE ST NW,,WASHINGTON,DC,20010,3A
1514 NEAL WASHINGTON,,WASHINGTON,DC,20002,3A
1514 QUEEN ST NE,,WASHINGTON,DC,20002,3B
1515 8TH ST NW,,WASHINGTON,DC,20001,3B
1515 KALMIA RD NW,,WASHINGTON,DC,20012,3A
1515 OGDEN ST NW,APT 426,WASHINGTON,DC,20010,3A
1516 1ST ST NW,,WASHINGTON,DC,20001,3A
1516 41ST ST SE,,WASHINGTON,DC,20020,3B
1516 6TH ST NW,APT DNSTRS,WASHINGTON,DC,20001,3B
1516 CAROLINE ST NW,,WASHINGTON,DC,20009,3B
1516 D ST NE,,WASHINGTON,DC,20002,3B
1516 NEAL ST NE,,WASHINGTON,DC,20002,3B
1517 3RD ST NW,APT A,WASHINGTON,DC,20001,3A
1517 ANACOSTIA AVE NE,,WASHINGTON,DC,20019,3B
1517 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3B
1518 1ST ST NW,,WASHINGTON,DC,20001,3A
1519 1/2 ANACOSTIA AVE NE,,WASHINGTON,DC,20019,3B
1519 ANACOSTIA AVE NE,,WASHINGTON,DC,20019,3A
1519 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3A
1520 28TH ST SE,,WASHINGTON,DC,20020,3B
1520 CAROLINE ST NW,,WASHINGTON,DC,20009,3A
1520 ISHERWOOD ST NE,APT 4,WASHINGTON,DC,20002,3B
1521 FORT DAVIS ST SE,,WASHINGTON,DC,20020,3B
1521 OATES ST NE,,WASHINGTON,DC,20002,3B
1522 D ST NE,,WASHINGTON,DC,20002,3A
1522 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3B
1523 38TH ST SE,,WASHINGTON,DC,20020,3B
1523 BUCHANAN ST NW,,WASHINGTON,DC,20011,3B
1524 1ST ST NW,,WASHINGTON,DC,20001,3A
1524 41ST ST SE,,WASHINGTON,DC,20020,3B
1524 CAROLINE ST NW,,WASHINGTON,DC,20009,3B
1524 LEVIS ST NE,,WASHINGTON,DC,20002,3B
1525 FORT DAVIS ST SE,,WASHINGTON,DC,20020,3B
1525 OATES ST NE,APT 1,WASHINGTON,DC,20002,3B
1526 28TH ST SE,,WASHINGTON,DC,20020,3B
1527 ISHERWOOD ST NE,,WASHINGTON,DC,20002,3A
1529 FORT DAVIS PL SE,,WASHINGTON,DC,20020,3B
1529 MARION ST NW,,WASHINGTON,DC,20001,3A
153 ADAMS ST NW,,WASHINGTON,DC,20001,3A
153 RANDOLPH PL NW,,WASHINGTON,DC,20001,3B
153 T ST NW,,WASHINGTON,DC,20001,3A
1530 41ST ST SE,,WASHINGTON,DC,20020,3B
1534 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3B
1535 42ND ST SE,,WASHINGTON,DC,20020,3B
1535 4TH ST NW,,WASHINGTON,DC,20001,3B
1537 5TH ST NW,,WASHINGTON,DC,20001,3A
1537 ISHERWOOD ST NE,,WASHINGTON,DC,20002,3B
1539 5TH ST NW,,WASHINGTON,DC,20001,3B
1539 MARION ST NW,,WASHINGTON,DC,20001,3B
1540 6TH ST NW,,WASHINGTON,DC,20001,3B
1541 5TH ST NW,APT 1,WASHINGTON,DC,20001,3B
1558 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3B
156 BRYANT ST NW,,WASHINGTON,DC,20001,3A
156 U ST NW,,WASHINGTON,DC,20001,3B
1562 41ST ST SE,,WASHINGTON,DC,20020,3B
1565 42ND ST SE,,WASHINGTON,DC,20020,3B
1567 41ST ST SE,,WASHINGTON,DC,20020,3A
16 KNOX CIR SE,,WASHINGTON,DC,20020,3B
16 RANDOLPH PL NW,,WASHINGTON,DC,20001,3A
160 35TH ST NE,,WASHINGTON,DC,20019,3B
1600 C ST NE,,WASHINGTON,DC,20002,3B
1600 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3B
1600 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3B
1601 23RD ST SE,,WASHINGTON,DC,20020,3A
1601 D ST NE,,WASHINGTON,DC,20002,3B
1601 HOLLY ST NW,,WASHINGTON,DC,20012,3B
1601 KALMIA RD NW,,WASHINGTON,DC,20012,3A
1602 LEVIS ST NE,,WASHINGTON,DC,20002,3A
1604 MONTELLO AVE NE,,WASHINGTON,DC,20002,3B
1605 17TH ST SE,APT 1,WASHINGTON,DC,20020,3B
1605 31ST ST SE,,WASHINGTON,DC,20020,3A
1609 1ST ST NW,,WASHINGTON,DC,20001,3B
1611 8TH ST NW,,WASHINGTON,DC,20001,3A
1611 D ST NE,,WASHINGTON,DC,20002,3A
1611 ROSEDALE ST NE,,WASHINGTON,DC,20002,3B
1611 T ST SE,APT 1,WASHINGTON,DC,20020,3B
1612 C ST NE,,WASHINGTON,DC,20002,3B
1612 LONGFELLOW ST NW,,WASHINGTON,DC,20011,3A
1612 OAK ST NW,,WASHINGTON,DC,20010,3B
1613 4TH ST NW,,WASHINGTON,DC,20001,3A
1613 BUCHANAN ST NW,,WASHINGTON,DC,20011,3B
1613 MONROE ST NW,,WASHINGTON,DC,20010,3B
1614 3RD ST NW,,WASHINGTON,DC,20001,3A
1615 1ST ST NW,,WASHINGTON,DC,20001,3B
1616 OAK ST NW,,WASHINGTON,DC,20010,3A
1617 1ST ST NW,,WASHINGTON,DC,20001,3B
1617 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3B
1617 ROSEDALE ST NE,,WASHINGTON,DC,20002,3A
1618 40TH ST SE,,WASHINGTON,DC,20020,3B
1618 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3A
1619 21ST PL SE,APT 104,WASHINGTON,DC,20020,3B
1619 4TH ST NW,,WASHINGTON,DC,20001,3A
1619 MONROE ST NW,,WASHINGTON,DC,20010,3B
1620 28TH PL SE,APT 4,WASHINGTON,DC,20020,3A
1620 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3B
1621 28TH PL SE,,WASHINGTON,DC,20020,3A
1621 4TH ST NW,,WASHINGTON,DC,20001,3B
1621 MONROE ST NW,,WASHINGTON,DC,20010,3B
1621 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3B
1622 40TH ST SE,,WASHINGTON,DC,20020,3B
1622 LANG PL NE,,WASHINGTON,DC,20002,3B
1622 RIDGE PL SE,,WASHINGTON,DC,20020,3B
1622 ROSEDALE ST NE,,WASHINGTON,DC,20002,3B
1623 5TH ST NW,,WASHINGTON,DC,20001,3B
1623 FORT DAVIS ST SE,,WASHINGTON,DC,20020,3A
1623 HOBART ST NW,APT B,WASHINGTON,DC,20009,3B
1623 V ST NW,# A,WASHINGTON,DC,20009,3A
1624 40TH ST SE,,WASHINGTON,DC,20020,3B
1625 4TH ST NW,,WASHINGTON,DC,20001,3B
1625 5TH ST NW,,WASHINGTON,DC,20001,3B
1625 LYMAN PL NE,,WASHINGTON,DC,20002,3B
1626 3RD ST NW,,WASHINGTON,DC,20001,3B
1626 LANG PL NE,,WASHINGTON,DC,20002,3B
1626 MYRTLE ST NW,,WASHINGTON,DC,20012,3B
1626 U ST SE,,WASHINGTON,DC,20020,3B
1627 5TH ST NW,,WASHINGTON,DC,20001,3B
1628 40TH ST SE,,WASHINGTON,DC,20020,3B
1628 FORT DAVIS PL SE,,WASHINGTON,DC,20020,3B
1629 4TH ST NW,,WASHINGTON,DC,20001,3B
163 WASHINGTON,,WASHINGTON,DC,02174,1B
1630 K ST NE,APT 2,WASHINGTON,DC,20002,3A
1630 MONTAGUE ST NW,,WASHINGTON,DC,20011,3A
1630 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3A
1630 W ST SE,,WASHINGTON,DC,20020,3B
1631 FORT DAVIS ST SE,,WASHINGTON,DC,20020,3B
1631 W VIRGINIA AVE NE,APT 3,WASHINGTON,DC,20002,3B
1631 WEBSTER ST NW,,WASHINGTON,DC,20011,3B
1632 C ST NE,,WASHINGTON,DC,20002,3A
1633 L ST NE,,WASHINGTON,DC,20002,3B
1633 ROSEDALE ST NE,,WASHINGTON,DC,20002,3B
1635 11TH PL NE,,WASHINGTON,DC,20002,3B
1635 1ST ST NW,,WASHINGTON,DC,20001,3A
1635 4TH ST NW,,WASHINGTON,DC,20001,3B
1635 HOBART ST NW,,WASHINGTON,DC,20009,3A
1636 22ND ST SE,,WASHINGTON,DC,20020,3A
1638 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3A
1641 40TH ST SE,,WASHINGTON,DC,20020,3B
1642 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3B
1644 KRAMER ST NE,,WASHINGTON,DC,20002,3A
1644 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3A
1645 GALES ST NE,,WASHINGTON,DC,20002,3B
1645 NEWTON ST NW,,WASHINGTON,DC,20010,3B
1646 GALES ST NE,,WASHINGTON,DC,20002,3B
1647 LANG PL NE,,WASHINGTON,DC,20002,3A
1647 W VIRGINIA AVE NE,APT 3,WASHINGTON,DC,20002,3A
1648 FORT DAVIS ST SE,,WASHINGTON,DC,20020,3B
1648 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3B
1648 TRINIDAD AVE NE,APT 1,WASHINGTON,DC,20002,3B
1650 FORT DAVIS ST SE,,WASHINGTON,DC,20020,3B
1650 IRVING ST NW,,WASHINGTON,DC,20010,3A
1653 TRINIDAD AVE NE,APT 1,WASHINGTON,DC,20002,3B
1654 IRVING ST NW,,WASHINGTON,DC,20010,3B
1654 ROSEDALE ST NE,,WASHINGTON,DC,20002,3B
1656 FORT DAVIS ST SE,,WASHINGTON,DC,20020,3B
1657 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3A
1657 TRINIDAD AVE NE,APT 3,WASHINGTON,DC,20002,3B
1658 K ST NE,APT 3,WASHINGTON,DC,20002,3B
1664 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3B
167 35TH ST NE,APT 4,WASHINGTON,DC,20019,3A
1679 FORT DAVIS ST SE,,WASHINGTON,DC,20020,3B
169 36TH ST NE,APT 1,WASHINGTON,DC,20019,3B
1696 FORT DUPONT ST SE,,WASHINGTON,DC,20020,3A
17 BRYANT ST NE,,WASHINGTON,DC,20002,3B
17 FRANKLIN ST NE,,WASHINGTON,DC,20002,3B
17 MICHIGAN AVE NE,,WASHINGTON,DC,20002,3A
17 R ST NW,,WASHINGTON,DC,20001,3B
17 TUCKERMAN ST NW,,WASHINGTON,DC,20011,3A
1700 15TH ST NW,APT 302,WASHINGTON,DC,20009,3A
1700 15TH ST NW,APT 201,WASHINGTON,DC,20009,3A
1700 15TH ST NW,APT 102,WASHINGTON,DC,20009,3B
1700 15TH ST NW,APT 101,WASHINGTON,DC,20009,3B
1701 13TH ST NW,UNIT 1,WASHINGTON,DC,20009,3B
1701 29TH ST SE,,WASHINGTON,DC,20020,3B
1701 LYMAN PL NE,,WASHINGTON,DC,20002,3B
1702 28TH ST SE,,WASHINGTON,DC,20020,3A
1704 10TH ST NW,,WASHINGTON,DC,20001,3B
1704 C ST NE,,WASHINGTON,DC,20002,3A
1704 KILBOURNE PL NW,APT 1WAS,WASHINGTON,DC,20010,3A
1704 M ST NE,,WASHINGTON,DC,20002,3B
1705 L ST NE,,WASHINGTON,DC,20002,3A
1705 SEATON ST NW,,WASHINGTON,DC,20009,3B
1706 1ST ST NW,,WASHINGTON,DC,20001,3B
1706 C ST NE,,WASHINGTON,DC,20002,3B
1706 D ST NE,,WASHINGTON,DC,20002,3A
1706 LANIER PL NW,APT BSMT,WASHINGTON,DC,20009,3B
1706 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3B
1707 HOBART ST NW,,WASHINGTON,DC,20009,3B
1707 HOLLY ST NW,,WASHINGTON,DC,20012,3B
1707 LYMAN PL NE,,WASHINGTON,DC,20002,3B
1707 M ST NE,,WASHINGTON,DC,20002,3B
1708 30TH ST SE,,WASHINGTON,DC,20020,3B
1708 M ST NE,,WASHINGTON,DC,20002,3B
1708 MONTELLO AVE NE,,WASHINGTON,DC,20002,3A
1709 38TH ST SE,,WASHINGTON,DC,20020,3B
1709 HOLBROOK ST NE,APT A,WASHINGTON,DC,20002,3B
1710 28TH ST SE,,WASHINGTON,DC,20020,3B
1710 LYMAN PL NE,,WASHINGTON,DC,20002,3B
1710 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3A
1711 HOBART ST NW,,WASHINGTON,DC,20009,3B
1711 HOLLY ST NW,,WASHINGTON,DC,20012,3B
1711 LAMONT ST NW,,WASHINGTON,DC,20010,3A
1712 C ST NE,,WASHINGTON,DC,20002,3A
1712 NEW JERSEY AVE NW,,WASHINGTON,DC,20001,3B
1713 1ST ST NW,,WASHINGTON,DC,20001,3B
1714 13TH ST NW,APT BSMT,WASHINGTON,DC,20009,3A
1714 15TH ST NW,BLDG REAR,WASHINGTON,DC,20009,3B
1714 22ND ST SE,,WASHINGTON,DC,20020,3A
1714 2ND ST NW,,WASHINGTON,DC,20001,3B
1714 33RD PL SE,,WASHINGTON,DC,20020,3B
1714 FT DAVIS SE WASHINGTON,,WASHINGTON,DC,20020,3B
1714 L ST NE,,WASHINGTON,DC,20002,3A
1715 1ST ST NW,APT A,WASHINGTON,DC,20001,3B
1715 41ST PL SE,,WASHINGTON,DC,20020,3B
1715 D ST NE,,WASHINGTON,DC,20002,3B
1715 M ST NE,,WASHINGTON,DC,20002,3B
1716 U ST NW,,WASHINGTON,DC,20009,3A
1717 HOLBROOK ST NE,,WASHINGTON,DC,20002,3A
1717 L ST NE,,WASHINGTON,DC,20002,3B
1717 LYMAN PL NE,,WASHINGTON,DC,20002,3B
1718 2ND ST NW,,WASHINGTON,DC,20001,3B
1718 IRVING ST NW,,WASHINGTON,DC,20010,3B
1718 L ST NE,,WASHINGTON,DC,20002,3B
1719 FORT DAVIS ST SE,,WASHINGTON,DC,20020,3B
1720 W VIRGINIA AVE NE,APT 2,WASHINGTON,DC,20002,3A
1721 31ST ST SE,,WASHINGTON,DC,20020,3A
1721 GALES PL NE,,WASHINGTON,DC,20002,3B
1721 HIGHWOOD PL SE,,WASHINGTON,DC,20020,3B
1721 M ST NE,,WASHINGTON,DC,20002,3A
1723 M ST NE,,WASHINGTON,DC,20002,3B
1723 S ST SE,,WASHINGTON,DC,20020,3B
1723 SHEPHERD ST NW,,WASHINGTON,DC,20011,3A
1724 10TH ST NW,,WASHINGTON,DC,20001,3A
1724 31ST ST SE,,WASHINGTON,DC,20020,3A
1725 38TH ST SE,,WASHINGTON,DC,20020,3B
1725 D ST NE,,WASHINGTON,DC,20002,3A
1725 HIGHWOOD PL SE,,WASHINGTON,DC,20020,3B
1725 JUNIPER ST NW,,WASHINGTON,DC,20012,3A
1727 D ST NE,,WASHINGTON,DC,20002,3B
1727 L ST NE,,WASHINGTON,DC,20002,3A
1727 LYMAN PL NE,,WASHINGTON,DC,20002,3B
1728 30TH ST SE,,WASHINGTON,DC,20020,3A
1729 31ST ST SE,,WASHINGTON,DC,20020,3A
1729 38TH ST SE,,WASHINGTON,DC,20020,3A
1730 33RD PL SE,,WASHINGTON,DC,20020,3B
1731 LANG PL NE,,WASHINGTON,DC,20002,3A
1731 SEATON ST NW,,WASHINGTON,DC,20009,3B
1732 40TH ST SE,,WASHINGTON,DC,20020,3B
1732 LANG PL NE,,WASHINGTON,DC,20002,3B
1733 31ST ST SE,,WASHINGTON,DC,20020,3B
1733 D ST NE,,WASHINGTON,DC,20002,3B
1733 GALES WASHINGTON,,WASHINGTON,DC,20002,3B
1733 L ST NE,,WASHINGTON,DC,20002,3B
1734 1ST ST NW,,WASHINGTON,DC,20001,3B
1735 CRESTWOOD DR NW,,WASHINGTON,DC,20011,3A
1736 MONTELLO AVE NE,,WASHINGTON,DC,20002,3B
1737 KENYON ST NW,APT B,WASHINGTON,DC,20010,3A
1737 LANG PL NE,,WASHINGTON,DC,20002,3B
1739 1ST ST NW,,WASHINGTON,DC,20001,3A
1739 41ST PL SE,,WASHINGTON,DC,20020,3A
1739 U ST NW,,WASHINGTON,DC,20009,3A
174 35TH ST NE,,WASHINGTON,DC,20019,3B
174 BRYANT ST NW,,WASHINGTON,DC,20001,3B
1740 LANIER PL NW,,WASHINGTON,DC,20009,3B
1742 IRVING ST NW,,WASHINGTON,DC,20010,3A
1743 SHEPHERD ST NW,,WASHINGTON,DC,20011,3A
1744 IRVING ST NW,,WASHINGTON,DC,20010,3A
1745 LANG PL NE,,WASHINGTON,DC,20002,3B
1745 LANIER PL NW,APT BSMT,WASHINGTON,DC,20009,3A
1749 LANG PL NE,,WASHINGTON,DC,20002,3B
1750 IRVING ST NW,,WASHINGTON,DC,20010,3A
1750 SEATON ST NW,,WASHINGTON,DC,20009,3B
1750 WILLARD ST NW,,WASHINGTON,DC,20009,3A
1752 L ST NE,WASHINGTON,WASHINGTON,DC,20002,3B
1754 T ST NW,,WASHINGTON,DC,20009,3A
1755 LYMAN PL NE,,WASHINGTON,DC,20002,3B
1757 HOBART ST NW,,WASHINGTON,DC,20009,3B
1757 LAMONT ST NW,,WASHINGTON,DC,20010,3B
1758 PARK RD NW,,WASHINGTON,DC,20010,3B
176 35TH ST NE,,WASHINGTON,DC,20019,3A
1762 LANG PL NE,,WASHINGTON,DC,20002,3A
1764 T ST NW,,WASHINGTON,DC,20009,3B
1765 LYMAN PL NE,,WASHINGTON,DC,20002,3B
1765 U ST NW,,WASHINGTON,DC,20009,3B
1767 T ST NW,,WASHINGTON,DC,20009,3A
1771 LANIER PL NW,APT BSMT,WASHINGTON,DC,20009,3A
1786 41ST PL SE,,WASHINGTON,DC,20020,3B
18 LONGFELLOW ST NW,,WASHINGTON,DC,20011,3B
18 R ST NW,,WASHINGTON,DC,20001,3A
18 UNDERWOOD ST NW,,WASHINGTON,DC,20012,3A
1801 16TH ST SE,FL 1APT1,WASHINGTON,DC,20020,3B
1801 FORT DAVIS ST SE,,WASHINGTON,DC,20020,3B
1801 VERMONT AVE NW,,WASHINGTON,DC,20001,3B
1803 M ST NE,,WASHINGTON,DC,20002,3A
1805 E ST NE,,WASHINGTON,DC,20002,3A
1805 KILBOURNE PL NW,APT B,WASHINGTON,DC,20010,3B
1806 28TH ST SE,,WASHINGTON,DC,20020,3B
1806 5TH ST NW,,WASHINGTON,DC,20001,3A
1806 L ST NE,,WASHINGTON,DC,20002,3A
1806 M ST NE,,WASHINGTON,DC,20002,3B
1807 2ND ST NW,,WASHINGTON,DC,20001,3A
1807 6TH ST NW,,WASHINGTON,DC,20001,3A
1808 M ST NE,,WASHINGTON,DC,20002,3A
1809 13TH ST NW,APT 3,WASHINGTON,DC,20009,3B
1809 29TH ST SE,,WASHINGTON,DC,20020,3B
1809 GALES ST NE,,WASHINGTON,DC,20002,3B
1809 LAMONT ST NW,APT 1,WASHINGTON,DC,20010,3B
1810 1/2 6TH ST NW,,WASHINGTON,DC,20001,3B
1810 6TH ST NW,,WASHINGTON,DC,20001,3A
